conc.,E,sc,topline,bottline,x8,x7,x6,x5,x4,x3,x2,x1,x0
1,-0.2,75,1,0,-29842.68712,-24763.07685,-8519.400369,-1568.739374,-166.917786,-10.23456535,-0.376260448,0.00589253,0.001982967
1,0.2,100,1,0,-25929.873,18094.50674,-5028.479338,711.6047229,-55.55606785,2.76211071,-0.185845114,0.036027764,-0.001915225
1,-0.2,100,1,0,-52359.07918,-42788.95428,-14390.89095,-2567.2754,-261.3524227,-15.13504673,-0.502260436,0.00684091,0.002054601
1,0.2,10,1,0,-888.3748564,1209.473831,-707.0540311,233.5669029,-48.40325342,6.61534307,-0.604630543,0.035033033,-0.000515521
1,-0.3,10,1,0,-585.1603326,-573.4878195,-234.9174854,-50.4122463,-6.087036391,-0.398271672,-0.013249198,-0.00072453,0.000556835
1,0.3,25,1,0,91.57027832,-53.2080853,-19.1187502,26.29927329,-10.55219911,2.396838678,-0.37197626,0.041628307,-0.001306473
1,-0.3,25,1,0,45.74845352,115.9807615,80.08325906,26.4845724,4.63424339,0.500501272,0.015931393,0.000791942,0.001507681
1,0.3,50,1,0,-2192.747308,2607.674405,-1279.641301,336.0990579,-51.73087079,5.017389708,-0.398372778,0.044830455,-0.002183838
1,-0.3,50,1,0,-2508.967508,-3040.927843,-1522.118639,-405.2469129,-61.82026635,-5.359113321,-0.272915949,-0.00068896,0.002372387
1,0.3,75,1,0,-1251.291272,1470.450819,-712.9712427,185.5430571,-28.61186491,2.885628844,-0.268466984,0.042182849,-0.002618613
1,-0.3,75,1,0,1853.811758,2396.484334,1275.78351,361.6789144,58.66094478,5.470049337,0.249735125,0.01451906,0.00285211
1,0.3,100,1,0,43.94282429,-40.09518059,9.261346748,3.019431062,-2.358558605,0.701249512,-0.156885566,0.039575756,-0.002833517
1,-0.3,100,1,0,252.8161629,322.4278359,162.763501,42.17126739,5.920307229,0.470111693,-0.003672169,0.011235035,0.003034495
1,0.4,10,1,0,-170.9658741,312.0978548,-243.3152959,106.0772978,-28.4550761,4.865311006,-0.527428698,0.033890892,-0.000523534
1,-0.4,10,1,0,-70.52872985,-82.96186084,-39.94758842,-9.770034917,-1.273488242,-0.080700043,-0.001678928,-0.000587534,0.000567192
1,0.4,25,1,0,-75.39207335,139.637168,-110.4762835,49.1405955,-13.7698204,2.648167443,-0.382858303,0.042247994,-0.001356708
1,-0.4,25,1,0,14.25508481,39.2182246,34.18819193,14.4735581,3.251026233,0.423203069,0.021649788,-0.0000699,0.001624541
1,0.4,50,1,0,-17.75126767,40.94077845,-38.95885453,20.28968435,-6.517544394,1.436720084,-0.259817051,0.044369164,-0.002457621
1,-0.4,50,1,0,15.87639381,37.04471809,30.55773599,12.55559651,2.774603915,0.359580745,0.007089837,0.003212925,0.002859595
1,0.4,75,1,0,-289.4515171,461.9409647,-304.097878,107.0619198,-22.03925762,2.837846803,-0.294593678,0.045182476,-0.003124322
1,-0.4,75,1,0,10.45072729,24.01757008,19.37107738,7.743002174,1.643265435,0.205952794,-0.005714356,0.006437617,0.003481409
1,0.4,100,1,0,-114.1201684,188.2903712,-129.3849543,48.24320233,-10.77800637,1.581108495,-0.206748015,0.042827834,-0.003519816
