conc.,E,sc,topline,bottline,x8,x7,x6,x5,x4,x3,x2,x1,x0
1,-0.4,25,0,1,55.12962442,103.4078454,83.53557269,38.44904407,11.37509903,2.359711022,0.368333246,0.044241273,0.00161721
1,0.4,50,0,1,-73.87979216,132.7581611,-94.9938091,35.5070088,-7.414451986,0.899083334,-0.04967004,0.003884816,-0.002466688
1,-0.4,50,0,1,-30.12241199,-40.58640056,-18.72271736,-1.670522259,1.647864003,0.799733725,0.210542209,0.044191221,0.002852892
1,0.4,75,0,1,504.5694453,-819.7538936,549.1651185,-195.2858831,39.63657172,-4.548902804,0.290692074,-0.002745501,-0.003075631
1,-0.4,75,0,1,630.995148,988.8626078,634.8488488,215.3573836,41.68600943,4.753115418,0.376516364,0.046528709,0.003460579
1,0.4,100,0,1,136.9301293,-218.3264948,144.4740981,-50.9656193,10.33329316,-1.175343188,0.086324266,0.005185667,-0.003530225
1,-0.4,100,0,1,591.6812503,926.7227376,594.3512856,201.2177025,38.76855674,4.361103204,0.333795023,0.044564585,0.003775704
1,0.5,10,0,1,48.240082,-84.30724796,61.37806718,-23.99650643,5.414220275,-0.699965139,0.04663031,-0.000883438,-0.00052654
1,-0.5,10,0,1,45.25455799,102.7734584,99.23050198,53.2056129,17.35876606,3.54656632,0.447603627,0.033161415,0.00057761
1,0.5,25,0,1,23.44064612,-40.2912387,28.96655484,-11.02831175,2.396858375,-0.288453541,0.016638201,0.000170629,-0.001384929
1,-0.5,25,0,1,15.51608263,36.1748168,36.23930484,20.62726119,7.494450495,1.870600216,0.336075781,0.043843181,0.001691421
1,0.5,50,0,1,11.22503402,-18.78769204,13.07543868,-4.74339761,0.984228713,-0.09626379,0.007751614,0.001381675,-0.002623279
1,-0.5,50,0,1,-13.38071444,-24.24584208,-16.79663013,-4.986960945,-0.049520616,0.454198237,0.18000771,0.044539729,0.003203355
1,0.5,75,0,1,-20.16873619,42.38802523,-35.90151378,15.97594936,-4.000733818,0.585484303,-0.036905257,0.004858686,-0.003496996
1,-0.5,75,0,1,-8.211911926,-14.34758203,-9.373418795,-2.3994345,0.218643973,0.346360799,0.137551648,0.043012582,0.004042604
1,0.5,100,0,1,20.5822688,-39.46636907,31.36599188,-13.21761351,3.186130329,-0.41825358,0.039609006,0.004542987,-0.004051104
1,-0.5,100,0,1,20.21974119,41.29232617,34.95996297,16.00081293,4.402706046,0.823426633,0.148520998,0.042271043,0.004511461
